street_name,stops_number,stop_name_dirty
Przystanki nie przypisane do ulicy ,['1250'],Wycieczkowa 
Przystanki nie przypisane do ulicy ,['4737'],Wyszyńskiego 30(Ozorków) 
Przystanki nie przypisane do ulicy ,['4736'],Wyszyńskiego 43(Ozorków) 
Przystanki nie przypisane do ulicy ,['4799'],Wyszyńskiego 6(Ozorków) 
Przystanki nie przypisane do ulicy ,['2267'],Zagajnikowa 
Przystanki nie przypisane do ulicy ,"['1426,1425']",Zdrowie 
Przystanki nie przypisane do ulicy ,"['2058,2194,3419']",Zielony Romanów 
Przystanki nie przypisane do ulicy ,"['1678,1674,1676,1677']",cm. Szczecińska 
Przystanki nie przypisane do ulicy ,['2132'],cm. Zarzew 
Przystanki nie przypisane do ulicy ,['3425'],cmentarz 
Przystanki nie przypisane do ulicy ,['3267'],ks. Popieluszki  (Zgierz) 
Przystanki nie przypisane do ulicy ,['2230'],park Podolski 
Przystanki nie przypisane do ulicy ,"['3337,3321']",pl. 500-lecia(Rzgów) 
Przystanki nie przypisane do ulicy ,['0788'],pl. Dąbrowskiego 
Przystanki nie przypisane do ulicy ,['4862'],pl. Jana Pawła II (Lutomiersk) 
Przystanki nie przypisane do ulicy ,['0792'],pl. Kościelny 
Przystanki nie przypisane do ulicy ,['4858'],pl. Kościuszki (Kazimierz) NŻ 
Przystanki nie przypisane do ulicy ,"['1222,1223']",pl. Mikulskiego 
Przystanki nie przypisane do ulicy ,"['0793,0795,0797']",pl. Niepodległości 
Przystanki nie przypisane do ulicy ,['2184'],pl. Słoneczny 
Przystanki nie przypisane do ulicy ,['0802'],pl. Wolności 
Przystanki nie przypisane do ulicy ,['3548'],pl. Wolności(Konstantynów) 
Przystanki nie przypisane do ulicy ,"['3068,3263']",pl. Łukasińskiego (Stryków) 
Przystanki nie przypisane do ulicy ,['3003'],plac Kilińskiego (Zgierz) 
Przystanki nie przypisane do ulicy ,['4998'],r. Insurekcji Kościuszkowskiej 
Przystanki nie przypisane do ulicy ,['0494'],r. Powstańców 1863r. 
Przystanki nie przypisane do ulicy ,"['1539,1616']",rondo Inwalidów 
Przystanki nie przypisane do ulicy ,['3500'],ŁSSE Inwestycyjna 
Przystanki nie przypisane do ulicy ,['3554'],ŁSSE Langiewicza 
Przystanki nie przypisane do ulicy ,['0703'],ŁSSE Nowy Józefów 
Przystanki nie przypisane do ulicy ,['3499'],ŁSSE ks. Janika 
Przystanki nie przypisane do ulicy ,['3555'],ŁSSE Łąkowa 
Przystanki nie przypisane do ulicy ,['0658'],Łagiewniki 
Przystanki nie przypisane do ulicy ,['3373'],Łaska (Pabianice) 
Przystanki nie przypisane do ulicy ,['1489'],Łukaszew Zjazdowa 
Przystanki nie przypisane do ulicy ,"['4755,4756']",Łęczycka (Zgierz) 
Przystanki nie przypisane do ulicy ,['3565'],Łódzka 109 (Konstantynów) NŻ 
Przystanki nie przypisane do ulicy ,['3566'],Łódzka 112 (Konstantynów) NŻ 
Przystanki nie przypisane do ulicy ,['3567'],Łódzka 171 (Konstantynów) NŻ 
Przystanki nie przypisane do ulicy ,['3563'],Łódzka 31 (Konstantynów) NŻ 
Przystanki nie przypisane do ulicy ,['3564'],Łódzka 82 (Konstantynów) NŻ 
Przystanki nie przypisane do ulicy ,"['3409,3410']",Łódzka(Brzeziny) 
Przystanki nie przypisane do ulicy ,['3061'],Śniechowskiego (Zgierz) 
Przystanki nie przypisane do ulicy ,['2233'],Żubardź 
Przystanki nie przypisane do ulicy ,['3403'],św. Anny 
Przystanki nie przypisane do ulicy ,['3186'],św. Anny 27-31(Brzeziny) 
